word,percent_known,freq,trial_order,rt,accuracy
público,99.3617,214.713757,70,635,1.0
cerca,98.69281046,213.498574,79,3281,1.0
tía,99.70149,213.118423,78,492,1.0
interior,99.84076433,212.777262,56,601,1.0
cierto,99.58071279,212.663542,91,736,1.0
apoyo,99.669967,212.647296,43,623,1.0
comunidad,99.62264151,212.296388,25,772,1.0
razón,99.03846,212.192415,77,597,1.0
político,99.61977,211.194925,4,914,1.0
libro,99.36305732,210.866761,13,946,1.0
enero,98.76923077,210.210432,20,729,1.0
camino,99.02912621,209.905011,0,1370,1.0
producción,99.05956,209.804288,81,586,1.0
total,99.02597,209.612588,55,838,1.0
mayo,98.34983,209.433884,96,590,1.0
marzo,100.0,208.852286,11,751,1.0
amor,99.27536232,208.368162,64,596,1.0
haya,95.9375,207.711833,7,940,1.0
siguiente,99.69136,207.113989,25,996,1.0
ayuda,99.23547401,206.759832,6,724,1.0
luis,95.80645161,206.048267,87,1583,1.0
voz,99.62335,205.573891,87,416,1.0
luz,98.51694915,205.50241,57,468,1.0
mayoría,100.0,205.450423,63,1191,1.0
llegar,98.31081081,205.122259,0,567,1.0
central,99.34640523,204.73561,39,709,1.0
papel,100.0,204.472428,62,1047,1.0
ningún,99.3921,203.799854,3,1852,1.0
alto,99.39393939,203.143525,99,773,1.0
hora,99.25373134,203.137026,1,918,1.0
futuro,99.33993399,202.808862,17,991,1.0
nadie,99.35691,202.789367,43,579,1.0
verdad,99.44238,202.743879,34,683,1.0
único,99.35691,202.379974,46,536,1.0
debate,99.39393939,202.172028,37,1413,1.0
santa,99.71429,202.061557,63,612,1.0
valor,99.04153,201.89585,8,595,1.0
buena,98.98989899,201.148545,7,751,1.0
demás,97.36842105,200.703411,5,933,1.0
mal,99.43181818,198.230806,76,144,1.0
diciembre,99.71181556,198.02286,98,605,1.0
esos,97.88732394,196.98638,34,624,1.0
control,99.68454259,196.466516,61,1333,1.0
propia,98.27586,196.417779,11,784,1.0
director,99.34640523,195.488521,44,994,1.0
septiembre,99.6337,195.423538,36,959,1.0
libertad,99.14285714,195.040138,35,889,1.0
origen,99.73545,194.07514,93,1938,1.0
sector,99.3865,193.649501,66,984,1.0
falta,99.6835443,193.412312,49,669,1.0
acción,98.84057971,193.337582,90,668,1.0
favor,99.56140351,193.266101,24,803,1.0
junio,99.69040248,191.88846,18,836,1.0
especial,98.55907781,191.803982,94,874,1.0
igual,98.96049896,191.764992,10,621,1.0
persona,99.70845,191.742248,67,461,1.0
ninguna,99.04459,191.693511,11,736,1.0
idea,99.43925234,191.586289,27,561,1.0
inglés,99.3987976,190.614792,56,867,1.0
última,99.67742,188.925233,23,770,1.0
economía,99.66777409,188.915485,85,862,1.0
juego,99.42196532,188.522338,10,1210,1.0
ejército,99.70760234,188.106446,49,642,1.0
tema,99.58506,187.895251,93,749,1.0
dirección,99.70414201,187.24867,19,713,1.0
cabo,98.97330595,187.147946,60,911,1.0
objetivo,99.22929,187.105707,17,976,1.0
octubre,99.67105,187.069966,36,602,1.0
época,99.10979228,186.962744,7,1277,1.0
abril,99.07120743,185.513622,26,739,1.0
argentina,100.0,185.126973,36,701,1.0
edad,99.35897436,184.551873,27,643,1.0
importancia,99.39759036,184.415409,62,1030,1.0
actualmente,98.82697947,183.726588,17,881,1.0
media,99.71347,183.716841,26,753,1.0
opinión,99.02913,182.985781,71,704,1.0
palabra,99.80315,182.456169,95,634,1.0
necesario,99.64286,182.446422,89,1274,1.0
posición,98.6755,182.160497,99,768,1.0
éxito,99.18367347,182.056524,69,953,1.0
energía,100.0,181.959049,77,592,1.0
joven,98.98989899,181.491171,51,1334,1.0
cultura,100.0,181.153259,55,611,1.0
servicio,99.38272,180.987552,53,681,1.0
interés,99.65870307,180.366964,19,554,1.0
necesidad,99.58333,179.899086,50,1163,1.0
banda,99.23809524,179.619659,6,785,1.0
febrero,99.25650558,179.051057,4,790,1.0
reino,98.85057,178.950334,5,697,1.0
organización,99.67532,178.882102,52,1639,1.0
semana,99.3763,178.222524,71,567,1.0
resultado,99.69419,176.968351,49,837,1.0
conjunto,99.73190349,176.295776,35,630,1.0
militar,98.76543,175.714178,26,540,1.0
buen,98.51351351,175.70118100000005,73,480,1.0
pronto,100.0,174.664701,37,722,1.0
causa,99.50690335,174.502244,30,538,1.0
efecto,98.99799599,174.482749,79,894,1.0
república,99.12281,174.070106,33,833,1.0
dinero,99.65156794,173.29031,42,800,1.0
atención,99.68253968,173.199333,0,718,1.0
decisión,98.73015873,173.153845,17,987,1.0
nía,4.77707,173.088862,79,938,0.0
anterior,98.97260274,173.046623,72,804,1.0
noviembre,100.0,172.520261,68,1180,1.0
ciento,97.4137931,172.396793,48,782,1.0
buenos,99.64157706,171.857433,96,1109,1.0
llamado,99.67845659,170.658496,22,590,1.0
justicia,99.3902439,170.648749,21,1018,1.0
medida,99.21875,170.632503,75,646,1.0
grande,99.19839679,169.735737,26,1133,1.0
defensa,99.03536977,169.51154499999996,54,699,1.0
movimiento,100.0,169.36533300000005,22,687,1.0
agosto,100.0,169.352337,68,641,1.0
libre,99.5508982,169.30035,66,571,1.0
saber,99.36975,169.189879,41,642,1.0
deber,98.66666667,168.527052,78,701,1.0
duda,98.70967742,168.488062,43,646,1.0
lucha,99.05362776,167.516565,9,588,1.0
línea,99.58506224,167.133165,47,805,1.0
película,99.73262,166.834243,9,671,1.0
popular,99.36441,165.950474,31,615,1.0
claro,99.8065764,165.518337,11,763,1.0
visto,99.01639,165.303892,13,758,1.0
civil,99.69135802,165.216165,60,586,1.0
club,99.11504425,164.530594,4,937,1.0
empresa,99.69230769,164.221925,12,1199,1.0
arte,99.60629921,163.87426499999995,89,661,1.0
estudio,99.41176471,163.653323,53,808,1.0
conocido,99.69040248,163.399889,46,656,1.0
artículo,99.18200409,163.078223,79,1599,1.0
fuerte,99.18200409,163.055479,64,841,1.0
educación,99.03846154,162.811792,42,636,1.0
municipio,100.0,162.47388,13,803,1.0
fondo,99.55357143,162.048241,18,618,1.0
naturaleza,99.65517,161.762316,63,1451,1.0
calidad,100.0,160.23521399999996,95,796,1.0
pedro,97.31544,160.131241,41,1115,1.0
marco,99.35484,159.77383500000005,89,1026,1.0
carrera,99.66216216,159.660114,96,611,1.0
salud,99.34853,159.22147900000004,5,581,1.0
puerta,99.10714,158.977792,37,533,1.0
finalmente,99.6763754,158.97454299999995,24,820,1.0
presencia,99.0228,158.951799,34,574,1.0
tratado,99.35897,158.305218,4,751,1.0
pública,99.62121,157.385707,27,549,1.0
plan,99.68454,157.025051,6,863,1.0
espacio,99.3485342,156.167275,50,711,1.0
chile,99.32432432,156.14128200000005,16,814,1.0
materia,99.6587,155.16978500000005,21,528,1.0
francés,99.23371648,154.896856,11,1658,1.0
hablar,98.81188119,154.61742900000004,55,663,1.0
seguir,99.01961,154.402985,54,770,1.0
construcción,99.3902439,154.396487,4,2258,1.0
menor,99.71056,154.146302,80,702,1.0
isla,99.05362776,154.00333899999995,84,556,1.0
resto,98.75389,153.77265,70,588,1.0
carácter,100.0,153.642683,26,800,1.0
oficial,99.62264,153.548458,86,776,1.0
policía,99.65636,153.087078,49,1243,1.0
protección,99.42693,152.031104,4,862,1.0
creación,98.54651163,151.556727,29,717,1.0
francisco,98.46625767,151.371526,99,572,1.0
tío,98.21429,151.118092,99,453,1.0
oro,99.78947,150.325299,71,412,1.0
capacidad,99.03536977,149.737202,63,534,1.0
título,99.65636,149.727454,82,714,1.0
comunicación,99.62686567,149.47727,4,1313,1.0
actividad,98.89298893,149.467522,71,747,1.0
presente,99.48007,149.42853200000005,62,674,1.0
premio,99.66667,148.885924,21,891,1.0
natural,99.40209,148.603248,15,594,1.0
corazón,99.78991597,148.45703600000004,98,668,1.0
particular,99.80198,148.050892,97,794,1.0
superior,99.37888,147.540775,5,1336,1.0
miembro,99.3311,146.903941,81,3227,1.0
sol,99.33422,146.864951,26,452,1.0
jefe,99.01639344,146.582275,32,818,1.0
calle,99.3220339,145.95193899999995,95,604,1.0
próximo,99.37695,145.76023899999996,22,1078,1.0
bastante,98.62068966,145.740744,0,1293,1.0
tribunal,99.39394,145.737495,31,638,1.0
cargo,99.62825279,144.954449,92,520,1.0
fútbol,100.0,144.658776,59,659,1.0
término,99.6875,144.288373,26,264,1.0
mes,98.18731,144.278625,68,724,1.0
crisis,99.65870307,144.138912,3,791,1.0
mas,95.27273,143.72951899999995,19,1740,0.0
escuela,99.38461538,143.268139,69,964,1.0
televisión,99.69789,143.18691,93,682,1.0
mío,99.05063,143.15116899999995,44,735,1.0
objeto,99.38272,143.040698,19,517,1.0
respuesta,99.67532,142.748274,67,755,1.0
demasiado,98.72204473,141.546088,17,639,1.0
comercio,99.44598338,140.68181299999998,35,655,1.0
contrario,99.42938659,139.82728600000002,29,889,1.0
presidencia,99.69605,139.713566,88,584,1.0
congreso,99.63898917,139.655081,1,1598,1.0
tampoco,98.93238,139.573852,84,756,1.0
amigo,100.0,138.00776100000002,15,712,1.0
pasar,100.0,137.94602700000002,60,901,1.0
alta,99.79633401,137.94602700000002,50,457,1.0
ambiente,99.60159363,137.90053899999998,27,615,1.0
posibilidad,99.65157,137.211718,41,1852,1.0
formación,99.33774834,137.068756,41,544,1.0
imagen,99.65277778,136.844564,96,717,1.0
temporada,99.69697,136.721096,87,644,1.0
modelo,99.60707,136.665861,42,1020,1.0
territorio,99.6633,136.33444699999998,52,967,1.0
costa,99.01185771,136.090761,95,867,1.0
difícil,99.66777409,135.788589,61,656,1.0
texto,99.69697,135.535155,5,1229,1.0
evitar,99.65635739,135.379196,76,925,1.0
personal,99.40828,135.190745,34,775,1.0
cámara,99.13043478,134.498676,98,1013,1.0
tomar,99.58763,134.378457,1,1281,1.0
aire,99.25373134,133.358223,50,669,1.0
obstante,99.27273,133.06255,79,1700,1.0
resolución,98.93993,132.90984,21,845,1.0
ámbito,98.78419453,132.370481,58,699,1.0
versión,98.66667,131.928596,64,744,1.0
encontrar,99.68553459,131.86036399999998,39,828,1.0
escrito,99.5412844,131.801879,66,832,1.0
cine,99.66777409,131.431476,76,717,1.0
álbum,99.04153355,130.87587,85,879,1.0
estilo,100.0,130.716662,21,858,1.0
constitución,100.0,130.651679,56,753,1.0
compañía,99.63235294,130.255282,13,722,1.0
alma,99.83974359,129.44624299999998,54,459,1.0
cantidad,98.19277108,129.241547,4,649,1.0
industria,99.3220339,128.95887,34,573,1.0
batalla,99.58506224,128.949123,91,925,1.0
vía,99.36102,128.932877,70,579,1.0
siete,100.0,128.90688400000002,64,549,1.0
alrededor,99.30555556,128.783416,84,588,1.0
autor,99.35275081,128.53973,7,633,1.0
clase,98.97119342,128.34803,45,762,1.0
cooperación,99.67845659,128.09134699999998,15,668,1.0
blanco,99.13916786,127.860657,57,795,1.0
suelo,99.4575,127.574731,78,710,1.0
empleo,99.66666667,127.282308,46,526,1.0
domingo,99.27797834,126.934648,93,651,1.0
aplicación,99.66666667,126.827426,76,638,1.0
plaza,98.50187,126.78193799999998,84,788,1.0
asunto,99.37106918,126.612982,67,559,1.0
