Feature,Language,Term
93,Albanian C,mor
94,Albanian C,bur
95,Albanian C,sum
96,Albanian C,mis
97,Albanian C,mem
98,Albanian C,mal
99,Albanian C,goj
100,Albanian C,ember
101,Albanian C,i-ngust
102,Albanian C,danz
103,Albanian C,koc
104,Albanian C,i-ri
105,Albanian C,nat
106,Albanian C,xund
107,Albanian C,ng
108,Albanian C,i-vjetr
109,Albanian C,ne
110,Albanian C,jetr
111,Albanian C,"ginde,ister"
112,Albanian C,los
113,Albanian C,rnar
114,Albanian C,stin
115,Albanian C,si
116,Albanian C,i-kuk
117,Albanian C,lik
118,Albanian C,e-drejta
119,Albanian C,lum
120,Albanian C,dhrom
121,Albanian C,ren
122,Albanian C,trikuz
123,Albanian C,i-kalbet
124,Albanian C,ferkon
125,Albanian C,krip
126,Albanian C,rer
127,Albanian C,thom
128,Albanian C,raskar
129,Albanian C,dejt
130,Albanian C,sox
131,Albanian C,far
132,Albanian C,kep
133,Albanian C,
134,Albanian C,i-skurtur
135,Albanian C,kendon
136,Albanian C,ujem
137,Albanian C,likur
138,Albanian C,kieghja
139,Albanian C,fle
140,Albanian C,i-vogel
141,Albanian C,curar
142,Albanian C,kamnua
143,Albanian C,lisu
144,Albanian C,galphrh
145,Albanian C,zbor
146,Albanian C,ca
147,Albanian C,pustin
148,Albanian C,xap
149,Albanian C,strengon
150,Albanian C,
151,Albanian C,ri stuera
152,Albanian C,ize
153,Albanian C,dru
154,Albanian C,gur
155,Albanian C,i-drejt
156,Albanian C,thith
157,Albanian C,diex
158,Albanian C,exet
159,Albanian C,natar
160,Albanian C,bist
161,Albanian C,"aji,ata"
162,Albanian C,atje
163,Albanian C,ata
164,Albanian C,i-tras
165,Albanian C,i-xogh
166,Albanian C,pincar
167,Albanian C,"ki,kjoko,xta"
168,Albanian C,ti
169,Albanian C,tri
170,Albanian C,stie
171,Albanian C,lith
172,Albanian C,glux
173,Albanian C,dhemb
174,Albanian C,arvugham
175,Albanian C,prirem
176,Albanian C,di
177,Albanian C,vighem
178,Albanian C,jec
179,Albanian C,ngroxt
180,Albanian C,lan
181,Albanian C,uj
182,Albanian C,na
183,Albanian C,laget
184,Albanian C,ce
185,Albanian C,kur
186,Albanian C,ku
187,Albanian C,i-bardh
188,Albanian C,kus
189,Albanian C,i-ger
190,Albanian C,soke
191,Albanian C,er
192,Albanian C,krax
193,Albanian C,fsin
194,Albanian C,me
195,Albanian C,grua
196,Albanian C,vosku
197,Albanian C,krimp
198,Albanian C,ju
199,Albanian C,vit
200,Albanian C,
1,Albanian G,gjith
2,Albanian G,"ene,ne,e"
3,Albanian G,"baktia,shtasa"
4,Albanian G,hini
5,Albanian G,me
6,Albanian G,shpina
7,Albanian G,kekj
8,Albanian G,"zhaba,kuja"
9,Albanian G,sepse
10,Albanian G,"barku,mulla"
11,Albanian G,madh
12,Albanian G,"shpendi,shpeza,zogu"
13,Albanian G,kapshoj
14,Albanian G,zi
15,Albanian G,gjaku
16,Albanian G,
17,Albanian G,rrashti
18,Albanian G,marr frym
19,Albanian G,digjem
20,Albanian G,femija
21,Albanian G,reja
22,Albanian G,ftoft
23,Albanian G,"vij,ardh"
24,Albanian G,numeroj
25,Albanian G,"pres,pre"
26,Albanian G,dita
27,Albanian G,"vdes,vdek"
28,Albanian G,germoj
29,Albanian G,"trok,zhgrym"
30,Albanian G,kjeni
31,Albanian G,pi
32,Albanian G,that
33,Albanian G,nuk prefet
34,Albanian G,pluhuni
35,Albanian G,veshi
36,Albanian G,dheu
37,Albanian G,"ha,hanger"
38,Albanian G,veja
39,Albanian G,syni
40,Albanian G,"bi,ra,ran"
41,Albanian G,"gjat,larg"
42,Albanian G,"dhjami,lyra,yndyra"
43,Albanian G,ati
44,Albanian G,"druj,druhem"
45,Albanian G,penda
46,Albanian G,pak
47,Albanian G,luftoj
48,Albanian G,zjarri
49,Albanian G,peshku
50,Albanian G,pes
51,Albanian G,
52,Albanian G,rrjedh
53,Albanian G,lule
54,Albanian G,fluteroj
55,Albanian G,mjegulla
56,Albanian G,"kama,puter"
57,Albanian G,kater
58,Albanian G,merdhif
59,Albanian G,pema
60,Albanian G,"ap,dhan,dhan"
61,Albanian G,mir
62,Albanian G,bar
63,Albanian G,jeshil
64,Albanian G,zorret
65,Albanian G,"floku,kjime"
66,Albanian G,dora
67,Albanian G,ai
68,Albanian G,kryet
69,Albanian G,ndegjoj
70,Albanian G,zemer
71,Albanian G,rand
72,Albanian G,ketu
73,Albanian G,"rraf,sill"
74,Albanian G,marr
75,Albanian G,"kjysh,si"
76,Albanian G,gjuj
77,Albanian G,i shokj
78,Albanian G,un
79,Albanian G,akulli
80,Albanian G,ne
81,Albanian G,"me,ne"
82,Albanian G,vras
83,Albanian G,"di,dit"
84,Albanian G,gjolli
85,Albanian G,kjesh
86,Albanian G,"fleta,gjethi"
87,Albanian G,majt
88,Albanian G,kama
89,Albanian G,
90,Albanian G,"jetoj,rroj,rrojt"
91,Albanian G,meltsi e zez
92,Albanian G,gjat
93,Albanian G,morra
94,Albanian G,burri
95,Albanian G,shum
96,Albanian G,misht
97,Albanian G,"ama,moma,nana"
98,Albanian G,mali
99,Albanian G,goja
100,Albanian G,emen
101,Albanian G,ngusht
102,Albanian G,afer
103,Albanian G,kjafa
104,Albanian G,ri
105,Albanian G,nata
106,Albanian G,hunda
107,Albanian G,nuk
108,Albanian G,vjeter
109,Albanian G,nji
110,Albanian G,tjeter
111,Albanian G,njeriu
112,Albanian G,luj
113,Albanian G,hek
114,Albanian G,
115,Albanian G,bi shi
116,Albanian G,kukj
117,Albanian G,drejt
118,Albanian G,djatht
119,Albanian G,lumi
120,Albanian G,"rruga,udha"
121,Albanian G,rraja
122,Albanian G,litari
123,Albanian G,"demel,kalbet,pertats"
124,Albanian G,ferkoj
125,Albanian G,krypa
126,Albanian G,rana
127,Albanian G,"diftoj,thom,than"
128,Albanian G,kruj
129,Albanian G,det
130,Albanian G,"shof,pa"
131,Albanian G,
132,Albanian G,kjep
133,Albanian G,prefet
134,Albanian G,shkurt
135,Albanian G,kendoj
136,Albanian G,rri ne byth
137,Albanian G,likura
138,Albanian G,kjulli
139,Albanian G,fle
140,Albanian G,vogel
141,Albanian G,
142,Albanian G,tymi
143,Albanian G,limut
144,Albanian G,"beri,bolla,gjarpen"
145,Albanian G,bora
146,Albanian G,ditsh
147,Albanian G,meshty j
148,Albanian G,tshaj
149,Albanian G,shtyp
150,Albanian G,
151,Albanian G,rri me kam
152,Albanian G,ylli
153,Albanian G,shkopi
154,Albanian G,guri
155,Albanian G,"tamam,bash"
156,Albanian G,thith
157,Albanian G,dilli
158,Albanian G,ajem
159,Albanian G,noti me ba
160,Albanian G,bishti
161,Albanian G,ai
162,Albanian G,"atje,aty"
163,Albanian G,ata
164,Albanian G,trash
165,Albanian G,"holl,imet"
166,Albanian G,"kujtoj,mendoj"
167,Albanian G,ky
168,Albanian G,ti
169,Albanian G,tre
170,Albanian G,shti j
171,Albanian G,lidh
172,Albanian G,gjuhena
173,Albanian G,dham b i
174,Albanian G,druja
175,Albanian G,kethej
176,Albanian G,dy
177,Albanian G,
178,Albanian G,"skkoj,vete"
179,Albanian G,ngrofet
180,Albanian G,laj
181,Albanian G,ujt
182,Albanian G,ne
183,Albanian G,lakt
184,Albanian G,tsh
185,Albanian G,kur
186,Albanian G,ku
187,Albanian G,bardh
188,Albanian G,kush
189,Albanian G,gjan
190,Albanian G,"gruja,zoja,shokje"
191,Albanian G,era
192,Albanian G,fleta
193,Albanian G,
194,Albanian G,me
195,Albanian G,
196,Albanian G,pylli
197,Albanian G,"karrema,krymi"
198,Albanian G,ju
199,Albanian G,"moti,viti"
200,Albanian G,verdh
1,Albanian K,tuti
2,Albanian K,edhe
3,Albanian K,kafse
4,Albanian K,xii
5,Albanian K,nde
6,Albanian K,raxokokalee
7,Albanian K,palho
8,Albanian K,fudhe
9,Albanian K,pse
10,Albanian K,bark
11,Albanian K,i math
12,Albanian K,zok
13,Albanian K,zee aaj
14,Albanian K,i zii
15,Albanian K,gak
16,Albanian K,friin
17,Albanian K,kokau
18,Albanian K,mar friime
19,Albanian K,digem
20,Albanian K,djale
21,Albanian K,ree
22,Albanian K,ftoxete
23,Albanian K,"vin,erdha,ardhure"
24,Albanian K,menderon
25,Albanian K,"sklhien,pres"
26,Albanian K,dite
27,Albanian K,"vdes,vdika"
28,Albanian K,remon
29,Albanian K,i perguam
30,Albanian K,ken
31,Albanian K,pii
32,Albanian K,thaate
33,Albanian K,i paa ecure
34,Albanian K,skon
35,Albanian K,ves
36,Albanian K,bote
37,Albanian K,"xaa,xengera,grene"
38,Albanian K,vee
39,Albanian K,sii
40,Albanian K,"bie,raase"
41,Albanian K,pare
42,Albanian K,lhipos
43,Albanian K,tate
44,Albanian K,trembem
45,Albanian K,pende
46,Albanian K,ca
47,Albanian K,leksem
48,Albanian K,zjarm
49,Albanian K,pisk
50,Albanian K,pese
51,Albanian K,vete mbii deet
52,Albanian K,reth
53,Albanian K,lule
54,Albanian K,furtulon
55,Albanian K,mnenk
56,Albanian K,kembe
57,Albanian K,katre
58,Albanian K,ftoxem
59,Albanian K,fruto
60,Albanian K,"jap,dhase,dhene"
61,Albanian K,mire
62,Albanian K,baar
63,Albanian K,"bime,i-rimte"
64,Albanian K,zore
65,Albanian K,les
66,Albanian K,dore
67,Albanian K,aj
68,Albanian K,krie
69,Albanian K,"gigem,gejse"
70,Albanian K,zemere
71,Albanian K,irende
72,Albanian K,ketu
73,Albanian K,"i bie,i-raase"
74,Albanian K,mbaa
75,Albanian K,si
76,Albanian K,kinijisin
77,Albanian K,bure
78,Albanian K,u
79,Albanian K,pagho
80,Albanian K,po
81,Albanian K,"nde,menda"
82,Albanian K,"vras,vrava"
83,Albanian K,dii
84,Albanian K,luce
85,Albanian K,kesin
86,Albanian K,flete
87,Albanian K,zervist
88,Albanian K,kembe
89,Albanian K,rii
90,Albanian K,ron
91,Albanian K,spreke
92,Albanian K,i glhate
93,Albanian K,mor
94,Albanian K,bure
95,Albanian K,sume
96,Albanian K,mis
97,Albanian K,meme
98,Albanian K,mal
99,Albanian K,golhe
100,Albanian K,emer
101,Albanian K,i nguste
102,Albanian K,ndane
103,Albanian K,"zherk,grike"
104,Albanian K,i rii
105,Albanian K,nate
106,Albanian K,xunde
107,Albanian K,"joo,nukus,mos,paa'un"
108,Albanian K,i-vjetere
109,Albanian K,ne
110,Albanian K,netre
111,Albanian K,nerii
112,Albanian K,luan
113,Albanian K,xelhkin
114,Albanian K,"stiin,stiijta"
115,Albanian K,bie sii
116,Albanian K,i kuk
117,Albanian K,drek
118,Albanian K,djathetist
119,Albanian K,lume
120,Albanian K,dhrom
121,Albanian K,rene
122,Albanian K,telh
123,Albanian K,i kalhbete
124,Albanian K,kruan
125,Albanian K,kripe
126,Albanian K,suur
127,Albanian K,"thom,thase,thene"
128,Albanian K,kruan
129,Albanian K,deet
130,Albanian K,"sox,paase,paare"
131,Albanian K,"koke,fare"
132,Albanian K,kepin
133,Albanian K,i-ecure
134,Albanian K,i skurtere
135,Albanian K,kendon
136,Albanian K,"rii,mbeta"
137,Albanian K,lekure
138,Albanian K,inezot
139,Albanian K,"flee,fjeta"
140,Albanian K,i vogele
141,Albanian K,bie eere
142,Albanian K,kamnua
143,Albanian K,malako
144,Albanian K,garper
145,Albanian K,bore
146,Albanian K,ca
147,Albanian K,pestiin
148,Albanian K,skier
149,Albanian K,stridhin
150,Albanian K,cepon me thike
151,Albanian K,"rii,betadina"
152,Albanian K,iiu
153,Albanian K,skop
154,Albanian K,guur
155,Albanian K,i drejte
156,Albanian K,ment
157,Albanian K,dieu
158,Albanian K,frixem
